bundle,sigma,x,y,z,vx,vy,vz,mass,lam0,lam1,lam2,lam3,lam4,lam5,lam6,time
32,11,-233.24857309453623,41.13114748029103,1.3825743195633176,-0.10012428324885712,-0.3350911473174101,-0.002325892535439388,1.0810216513584927,0.005262515377720878,0.6231074982320465,-1.0397555660993698,0.04348248778900237,1.736140221167584,-0.062077571771659575,-1.068464801397586,18932.121575449644
32,11,-233.2583975108934,41.09767288775054,1.3823411793117701,-0.10007523639314646,-0.33509925977431326,-0.0023261118882487233,1.081019790368744,0.005241460993366998,0.6276482311318704,-1.0389869701483205,0.043482603482761506,1.7361354458917495,-0.06165433717632996,-1.0669040315953222,18932.026281134575
32,11,-233.26821701525841,41.064197508054725,1.382108017275771,-0.10002618989977612,-0.33510736478470904,-0.0023263312391387466,1.0810179293789954,0.005220585598241716,0.6321241226408162,-1.0381447292065875,0.04348290454735102,1.7361293016388673,-0.06124346040038117,-1.0653567436582796,18931.9309868195
32,11,-233.27803160767607,41.03072134195134,1.3818748334555835,-0.09997714376988442,-0.33511546234913675,-0.002326550588115012,1.0810160683892467,0.005199903563432548,0.6365391555612717,-1.0372108686480235,0.04348331174064845,1.7361218311011417,-0.06085114343177436,-1.063823355256417,18931.835692504428
32,11,-233.28784128819171,40.99724439018768,1.3816416278514678,-0.09992809800460868,-0.3351235524681361,-0.0023267699351830822,1.081014207399498,0.005179428520476976,0.6408967295488487,-1.0361691835723046,0.04348378710709049,1.7361130549736061,-0.06048321193700295,-1.0623042093694033,18931.740398189355
32,11,-233.29764605685037,40.963766653511605,1.3814084004636868,-0.09987905260508692,-0.3351316351422468,-0.002326989280348515,1.0810123464097494,0.005159157663648377,0.6451959175792863,-1.0350219590661998,0.04348439115719838,1.736102923470732,-0.06013925784244492,-1.060799349586578,18931.64510387428
32,11,-233.30744591369762,40.930288132670235,1.3811751512925003,-0.09983000757245596,-0.33513971037200874,-0.002327208623616879,1.0810104854200007,0.005139088212471029,0.6494358116550273,-1.0337714580501607,0.04348518373213361,1.7360913913194997,-0.05981887858897168,-1.0593088147249048,18931.549809559212
32,11,-233.31724085877883,40.89680882841126,1.38094188033817,-0.0997809629078533,-0.3351477781579621,-0.0023274279649937372,1.081008624430252,0.005119217411720112,0.6536155228052191,-1.0324199212783205,0.043486224003697976,1.7360784177594002,-0.05952167713194793,-1.0578326388289734,18931.45451524414
32,11,-233.3270308921395,40.86332874148175,1.3807085876009528,-0.09973191861241533,-0.33515583850064684,-0.0023276473044846592,1.0810067634405034,0.005099542531421703,0.6577341810857151,-1.0309695673384947,0.04348757047433356,1.7360639665424331,-0.05924726194123156,-1.0563708511709966,18931.359220929065
32,11,-233.3270308921395,40.86332874148175,1.3807085876009528,-0.09973191861241533,-0.33515583850064684,-0.0023276473044846592,1.0810067634405034,0.005080060866852784,0.661790935579072,-1.0294225926521812,0.04348928097712271,1.7360480059331078,-0.05899524700117393,-1.0549234762508133,18931.263926613992
